run,Accuracies,Precisions,Recalls,F1s,AUCs,Durations,Memory_KB
0,0.6357615894039735,0.6134683098591549,0.7692147034252297,0.561903254734399,0.7692147034252297,0.012064933776855469,12989.5234375
1,0.6357615894039735,0.642067392067392,0.7350464576074333,0.5985013294657965,0.7350464576074331,0.008228063583374023,13145.68359375
2,0.6357615894039735,0.595593461265103,0.7053435114503817,0.5560010692328254,0.7053435114503817,0.011737823486328125,13020.728515625
3,0.5960264900662252,0.6080962416578855,0.7254578754578754,0.5416728865004727,0.7254578754578755,0.006922006607055664,13036.533203125
4,0.6158940397350994,0.6181578947368421,0.7209645669291338,0.5664356435643564,0.7209645669291338,0.006293058395385742,13083.2734375
5,0.6423841059602649,0.5864937388193202,0.7695094760312151,0.5333104395604396,0.7695094760312152,0.006064891815185547,12911.443359375
6,0.609271523178808,0.6016146016146016,0.7541703248463565,0.5360137492838914,0.7541703248463565,0.006100893020629883,12974.078125
7,0.6291390728476821,0.5881307746979388,0.6977671451355663,0.5447889750215331,0.6977671451355661,0.006663799285888672,13005.193359375
8,0.6026490066225165,0.5951210951210951,0.7263993316624895,0.531055900621118,0.7263993316624896,0.0068399906158447266,12989.5234375
9,0.6357615894039735,0.6071428571428571,0.7977941176470589,0.5497424776362158,0.7977941176470589,0.0052490234375,12942.603515625
